Year,Series,Units,Observation status,Unit multiplier,Value
2009,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBP (£ thousands),Normal value,Thousands,7097.88
2010,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBP (£ thousands),Normal value,Thousands,8312.81551
2011,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBP (£ thousands),Normal value,Thousands,120268.397818
2012,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBP (£ thousands),Normal value,Thousands,137377.028867
2013,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBP (£ thousands),Normal value,Thousands,327850.867456
2014,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBP (£ thousands),Normal value,Thousands,265622.75516
2015,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBP (£ thousands),Normal value,Thousands,548293.042742
2016,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBP (£ thousands),Normal value,Thousands,389111.14575
2017,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBP (£ thousands),Normal value,Thousands,222295.966762
2018,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBP (£ thousands),Normal value,Thousands,498268.295277
2019,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBP (£ thousands),Normal value,Thousands,398866.416012
2020,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies",GBP (£ thousands),Normal value,Thousands,721543.966276
